Accession Number,Title,Subject,Description,Period,Creator,Place of Origin,Condition,Notes,Location,Contributor/  Donor,Filenames
2009.01.706,Whittail & Shon black sequin hat,Costume; Headgear; Hats,"Black sequin cap (doll hat) with draped black mesh, sprinkled with rhinestones and black sequins. Finished with twisted 'pipe cleaners' for a touch of whimsey. Chignon strap.",After 1990,Whittail & Shon,,Very good condition.,No sign of wear.,KHW66C,Kathleen Kubas,
2009.01.707,Philip Treacy black straw fedora with sequin lily,Costume; Headgear; Hats,Fine black twill weave straw fedora with modified asymmetrical crown. 1.5cm reinforced satin band wraped twice around base of crown. Large sequin lily flower teeters on edge of brim off the left side of the crown. ,"After 1990, Before 2009",Philip Treacy,,Very good condition.,"Hat is full of movement, giving a new twist on a classic fedora. Crown has 'topsy turvey' effect. Notable couture milliner.",KHW66C,Kathleen Kubas,
2009.01.708,Philip Treacy magenta fedora,Costume; Headgear; Hats,Magenta womenswear fedora constructed from 100% felted rabbit hair. Crown and brim are tilted to right side. Bouquet of magenta feathers adorn the highest point of the brim's slant. Brim's depth 5.5cm. Lined with navy blue silk satin. ,"After 1990, Before 2009",Philip Treacy,,Near Perfect condition.,,KHW66H,Kathleen Kubas,
2009.01.709,Simpsons oversized fox fur womenswearcap with duckbill visor ,Costume; Headgear; Hats,Oversized fox fur womenswear cap with 5cm wide tan suede hatband and square duckbill visor. ,After 1970 and Before 1990,Simpsons,,Fair condition. Makeup stains and sweat inside front of crown and on suede brim. Grosgrain ribbon lining inside of crown is beginning to detach in stress areas. ,Unique duckbill visor gives this hat its quirky character. ,KHW64B Bin #2,Kathleen Kubas,
2009.01.710,Lilliput Hats pink felted wool hat with asymmetric brim and  crown,Costume; Headgear; Hats,"Hot pink felted wool hat with a short, asymmetric brim and tall, flat, asymmetric crown. Brim is trimmed in black velvet. Two oversized velvet flowers adorn the right side of the brim and top of crown. Black whispy feathers encircle the front of the crown. ",Before 2009,Karyn Gingras,"Toronto, Canada",Good condition. Inside of crown shows minimal makeup stains.,Lilliput Hats Label. Oversized embellishments for scale of hat. ,KHW66H,Kathleen Kubas,
2009.01.711,Hepsibah London Breton hat with large velvet sash hatband,Costume; Headgear; Hats,"Camel coloured wool felt Breton with large velvet sash hatband tied into a large, draping bow at the front of the crown. Small pheasant feathers peak out from underneath the velvet sash along the backside of the crown. ",Before 2009,Hepsibah London ,"London, England",Very good condition.,"Retailer label: Holt Renfrew.  Luxurious, cascading velvet sash is the highlight of this hat. ",KHW66H,Kathleen Kubas,
2009.01.712,Lilliput Hats leopard print bowler hat,Costume; Headgear; Hats,Modified womenswear bowler with asymmetric brim. Crown comprised of leopard print felted wool and is contrasted by a royal purple wool felt brim and purple felt Puritan hatband. Lilliput Hats label.,Before 2009,Karyn Gingras,,Very good condition.,Lilliput Hats Label. Funky use of leopard print and purple; a hat for bold wearers. ,KHW66H,Kathleen Kubas,
2009.01._713,Mitzi Lorenz black leather turban,Costume; Headgear; Hats,Black draped leather turban hat with rhinestone embellishment. ,Before 2009,Mitzi Lorenz ,England,Good condition. Minor staining on the top of the crown of the lining.,Made in England label.,KHW66H,Kathleen Kubas,
2009.01.714,David magenta felt cap,Costume; Headgear; Hats,"Magenta felt cap with tiered-effect crown, asymmetric brim, and top stitching detail. ",Before 2009,David,,Very good condition.,,KHW66H,Kathleen Kubas,
2009.01.715,Lilliput Hats fuschia straw doll hat with chignon strap.,Costume; Headgear; Hats,Fuschia straw doll hat with chignon strap. ,"After 1990, Before 2009",Karyn Gingras,"Toronto, Canada",Very good condition.,"Lilliput Hats Label. Skillfully draped straw coils into rosette on top of crown, visible from behind head. ",KHW66H,Kathleen Kubas,
2009.01.716,Kokin New York black leather floppy womenswear hat with wide brim,Costume; Headgear; Hats,"Black leather floppy womenswear hat with wide brim (14.5cm), concentric circle black top stitching detail along brim. Crown is comprised of three sections. ","After 1983, Before 2009",Kokin New York,"New York, USA",Good condition. Brim is bent in areas and minor wear on inside of crown.,Similar style to 2009.01.463. ,KHW66H,Kathleen Kubas,
2009.01.717,Peter Bettley black sinamay cartwheel hat,Costume; Headgear; Hats,Giant black sinamay cartwheel hat with black and white mesh. Mesh forms a swirl at front of crown. Line with black dupioni silk.,After 1990,Peter Bettley,"London, England",Good condition.  Dust on inside of crown. Chignon strap is broken.,,KHW66H,Kathleen Kubas,"/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_2009.01.717_Det_3_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_2009.01.717_Det_1_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_2009.01.717_FRT_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_2009.01.717_RGT_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_2009.01.717_BCK_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_2009.01.717_B34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_2009.01.717_F34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_2009.01.717_Det_6_Web.jpg"
2009.03.001A+B,Hanae Mori velvet target dress,Costume; Garments; Dress,"Black velvet shift dress with red, orange, and gray target pattern, short sleeves, Nehru collar and self-belt. ",c.1970,Hanae Mori,,Good condition.,Japanese designer label,KHW66C,Jocelyn Ryles,
2009.03.008,Blue silk crepe short-sleeve dress with draped collar,Costume; Garments; Dress,Blue silk crepe short-sleeve dress with draped collar extending into waist yoke panel. Flared skirt. Side metal zipper.,1930-1939,Unknown,,Good condition.,,KHW64B,Jocelyn Ryles,
2009.03.013,Purple faux straw plain weave cap,Costume; Headgear; Hats,Purple faux straw plain weave cap with synthetic draped purple/pink/blue striped fabric around base of crown. ,1960-1970,Unknown,,Good condition. Whip stitching becoming delicate in areas inside crown.,Turban inspired shape and drape detail. ,KHW66H,Jocelyn Ryles,
2009.03.015_A+B,French Maid blue floral housecoat,Costume; Garments; Dress; ,"A. Blue synthetic housecoat with blue, pink and green printed floral design.  Wide roll collar and peaked pocket. Wide sleeves are inset. Coat closes at waist with hook and eye.",1940-1950,French Maid Reg'd,,Good condition.,Glamourous style of house-coat.,KHW66B,Jocelyn Ryles,
2009.03.019,Red felted fur cloche hat,Costume; Headgear; Hats,"Red felted fur cloche hat with sweetheart crown and orange grosgrain hatband. Same grosgrain ribbon forms a bow at front of crown. Label reads: ""Seal Skin Made in Northern Ireland, Union Label Canada""",1960-1970,Unknown,Northern Ireland,Poor condition. Red felted fur is becoming matted. Grosgrain ribbon may once have been red and faded to orange. Ends of grosgrain bow are fraying.  ,,KHW66H,Jocelyn Ryles,
2009.03.021,Blue wool half hat with blue ostrich feathers,Costume; Headgear; Hats,Blue wool half hat with blue ostrich feathers wrapping front of crown. Self-fabric rosette at base of feather bouquet on left side of crown. ,1950-1960,Unknown,,Fair condition. Glue on feathers is decaying and causing yellowing.,Handsewn. ,KHW66H,Jocelyn Ryles,
2009.03.022,Evelyn Model Turquouise blue velvet juliet cap,Costume; Headgear; Hats,Turquouise blue velvet juliet cap with blue feather and netting overlay. ,1930-1940,Evelyn Model,,Poor condition. Feathers are decaying where glued down. Netting is very brittle. Velvet has faded.,,KHW66H,Jocelyn Ryles,
2009.03.023,Ivory and cream petal half hat,Costume; Headgear; Hats,Ivory and cream petal half hat. Label Made in USA,1950-1960,Unknown,USA,Good condition. Staining on stress points of hat.,Staining on stress points of hat.,KHW66H,Jocelyn Ryles,
2009.03.024,Orange straw half hat with orange velvet trim,Costume; Headgear; Hats,Orange straw half hat with orange velvet trim and orange wildflowers on either side of the crown. With orange netting overlay and hatpin. ,1950-1960,Unknown,,Fair condition. Velvet trim has pile worn down and browned on stress points. Veil is delicate.,,KHW66H,Jocelyn Ryles,
2009.03.025,White structured mesh half hat with white silk petals,Costume; Headgear; Hats,White structured mesh half hat with white silk petals and small green leaves.,1950-1960,Unknown,,Fair condition. Petals are yellowing from dust and are fraying. Top of crown may be missing petals.,,KHW66H,Jocelyn Ryles,
2009.03.026,Dark blue grosgrain bonnet cap with bows ,Costume; Headgear; Hats,Dark blue grosgrain bonnet cap with blue grosgrain bows at rear of crown.,1950-1960,Unknown,,Good condition. Grosgrain ribbons need steaming. Minor dust on inside of crown.,,KHW66H,Jocelyn Ryles,
2009.03.027,Sidell Model blue cap with iridescent beading,Costume; Headgear; Hats,Blue felted cap with iridescent beading on front of cap. Self-fabric bow with beading on rear of crown. ,1960-1970,Sidell Model,,Good condition. Minor dust and dirt wear on inside of crown. Label has yellowed with age.,,KHW66H,Jocelyn Ryles,
2009.03.028,Ivory satin and sheered velvet cap with widows peak,Costume; Headgear; Hats,Ivory satin and sheered velvet cap with widows peak. Back bow is stiffened satin and has attached veil.,1950-1960,Unknown,,Fair condition. Cap is misshapen and has some stains inside brim.,One hair comb attached on left side. ,KHW66H,Jocelyn Ryles,
2009.03.029,Blue satin and blue sequin half hat  ,Costume; Headgear; Hats,Blue satin and blue sequin half hat.  ,1950-1960,Hudson's Bay Company,USA,Poor condition. Satin ribbons detaching. Glue is exposed.,Made in USA label.,KHW66H,Jocelyn Ryles,
2009.03.030,Navy blue velvet ribbon half hat with navy blue half face veil. ,Costume; Headgear; Hats,Navy blue velvet ribbon half hat with navy blue half face veil. ,1950-1960,Unknown,,Fair condition. Wiring is poking out of moulded crown. Velvet ribbons are fraying on ends. Veil is very delicate. ,,KHW66H,Jocelyn Ryles,
2009.03.031,"Navy blue hat with small brim, navy corded silk band and bow",Costume; Headgear; Hats,"Navy blue hat with small brim, navy corded silk band and bow. Crown is navy polka dot silk. ",1950-1960,Unknown,,Fair condition. Brim is crushed. Wire is misshapen.,,KHW66H,Jocelyn Ryles,
2009.03.032,,Costume; Headgear; Hats,Ivory panne velvet cap with silver bugle beads and iridescent sequin trim. Attached veil is finished with ivory velvet ribbon.,1950-1960,Unknown,,Fair condition. Hat is misshapen and veil is torn.,Hat is lined in ivory silk.,KHW66H,Jocelyn Ryles,
2009.04.016,Issey Miyake green wool yoke wrap skirt  ,Costume; Garments; Skirts,Green tissue wool ankle-length wrap skirt with front button closure. ,c.1998,Issey Miyake ,Japan,Good condition. Small stain on front.,"Label reads: ""Issey Miyake Made in Japan""",KHW66C,Karen Mulhallen,
2009.04.017,Vivienne Westwood Red Label  wool womenswear jacket  sheepskin collar,Costume; Garments; Jackets,"Blue-green felted wool and poly blend womenswear jacket with asymmetrical sheepskin collar, singular angled pocket.",c.2001,Vivienne Westwood,,Good condition. Fur is a little matted.,Unusual textile. ,KHW66C,Karen Mulhallen,
2009.04.018,Sylvia O'Brien Point of Departure Brown pleated voile tunic dress ,Costume; Garments; Dress,"Brown pleated voile tunic dress with leather straps at cuffs, high stand collar, wide long sleeves with band of leather at cuffs closing with buckle.",c.2000,Sylvia O'Brien Point of Departure,,Good condition.,Textile is very sheer. Dress is constructed of 2 pieces for body + collar,KHW64A,Karen Mulhallen,
2009.04.019,Dolce & Gabbana Venetian purple brocaded silk capri pants,Costume; Garments; Trousers,Venetian purple brocaded silk capri pants with Velcro wrap waist closure.,c.2003,Dolce & Gabbana,,Unworn,Tag attached.,KHW66C,Karen Mulhallen,
2009.04.021,Sara Sturgeon checked cotton wrap skirt ,Costume; Garments; ; ; Skirts,Black checked cotton wrap skirt with button closure.,c.1996,Sara Sturgeon,France,Unworn,"Tags attached. ""Sara Sturgeon, Made in France Size 6, Marked down from $525 to $420""",KHW66C,Karen Mulhallen,
2009.04.025,Cherry red wool cape with embroidered blue and white flowers,Costume; Garments; Cape,Cherry red wool cape with embroidered blue and white flowers. Lined in burgundy red rayon. Banded collar and 3 self-fabric buttons.,1930-1940,Unknown,,Good condition.,Embroidery of flowers and leaves done with large satin stitch,Box 204,Karen Mulhallen,
2009.04.028,Ozbek London striped cotton shirtdress,Costume; Garments; Dress,Gray and white striped cotton shirtdress with white collar and cuffs.,Before 2009,Ozbek London,,Unknown,,KHW66C,Karen Mulhallen,
2009.04.032,Cream silk chemisette with crochet lace band at neckline,Costume; Garments; Underwear,Cream silk chemisette with crochet lace band at neckline and for shoulder straps. Gathered under bustline with elastic strap (likely a later addition),1900-1910,Unknown,,Fair condition. Silk is very delicate. Some tears in lace.,Insertion of elastic is a later addition. Item worn as vintage piece by donor.,Box 210,Karen Mulhallen,
2009.04.035,Rena Lange black wool womenswear jacket with brown satin trim,Costume; Garments; Jackets; ,"Black wool womenswear jacket with brown satin collar and trim on sleeve cuffs, decorative buttons.",Before 2009,Rena Lange,,Good condition.,Tuxedo style jacket,KHW66C,Karen Mulhallen,
2009.04.036,Black wool cape with collar.,Costume; Garments; Outerwear,Black wool cape with collar. Machine embroidered red flowers with green stems and leaves. Hook and eye closure at neckline. Lined in black rayon.,1930-1940,Unknown,,Good condition.,,Box 204,Karen Mulhallen,
2009.04.038,White cotton teddy with machine lace,Costume; Garments; Underwear,White cotton teddy with machine lace band at neckline and button crotch. Crochet lace band inset under bustline.,1930-1939,Unknown,,Good condition. Slightly grayed.,Garment is very large in size. Likely homemade.,Box 210,Karen Mulhallen,
2009.04.039,Cotton petticoat with eyelet flounce,Costume; Garments; Underwear,Cotton petticoat with eyelet flounce. Side buttons with waist drawstring.,1930-1940,Unknown,,Good condition.,Lightweight for summer wear.,Box 208,Karen Mulhallen,
2009.04.040_A+B,White cotton Christening gown with front cutwork panel,Costume; Garments; Dress; ,"A. White cotton Christening gown with front cutwork panel, horizontal tucks and crochet lace trim on side panels and sleeves. B. Full lace underskirt has horizontal tucks and is trimmed in lace.",1920-1930,Unknown,,Good condition.,Underskirt has no visible means to attach to dress.,Box 108,Karen Mulhallen,
2009.04.041,Green and gold woven silk sari dress with fringe,Costume; Garments; Dress; ,Green and gold woven silk sari dress with fringe,1950-1960,Unknown,India,Good condition.,,Box 302,Karen Mulhallen,
2009.04.061_,Purple spatts,Costume; Accessories; Footwear,Purple spatts for 2009.04.062A+B,c.2005,Unknown,Italy,Good condition.,Made for the Canadian Opera Company Production of the Magic Flute ,KHW66H,Karen Mulhallen,
2009.04.062_A+B,Purple suede and fabric boots,Costume; Accessories; Footwear,"Purple suede and printed pearlized fabric 2-inch heeled women’s knee-high boots, with inner calf zipper, lined in black acrylic fabric.",c.2005,Unknown,Italy,Good condition.,Made for the Canadian Opera Company Production of the Magic Flute ,KHW66H,Karen Mulhallen,"/home/pchurch/Programming/fashion/Marinas Images/FRC_Shoes_2009.04.062_A+B_LBL_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Shoes_2009.04.062_A+B_Det_1_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Shoes_2009.04.062_A+B_B34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Shoes_2009.04.062_A+B_Det_3_Web.jpg"
2009.04.064,Beverly Johnson evening sandals with  pink rose ,Costume; Accessories; Footwear,"Evening sandals with 1-inch Louis heel, floral embroidered liner and pink rose with leaves at toe",c.2006,Beverly Johnson,,Good condition.,"Heels are stamped with ""Looking good and feeling great""",KHW66H,Karen Mulhallen,
2009.04.065,Ramon Tensa Mules with Nautical Oyster Heels,Costume; Accessories; Footwear,Mules with Nautical Oyster Heels,c.2003,Ramon Tensa,,Good condition.,Playful summer shoe with pink acrylic heel,KHW66H,Karen Mulhallen,
2009.04.067,Ramon Tensa sandals with diamonte and beaded starfish,Costume; Accessories; Footwear,"Strappy sandals with 1-inch heel, decorative diamonte and beaded starfish. Heels are orange acrylic.",Before 2009,Ramon Tensa,,Good condition.,Playful summer shoe. Decorative accents are made of metal. ,KHW66H,Karen Mulhallen,
2009.04.070,Colettte black suede peep-toe pumps with gold metallic piping,Costume; Accessories; Footwear,Black suede peep-toe pumps with gold metallic piping,Before 2009,Colette ,"Toronto, Canada",Fair condition,"Heel is gold metallic leather. Label reads: ""Colette Exclusively for Chez Catherine, Toronto-Palm Beach""",KHW66H,Karen Mulhallen,
